index,Concept Name,Concpet Description,Human Label,Machine Label
1,firefighar: ar helmet for vitals on firefighters,ar helpemt with sensing to display hot spots personal vitals and o2 levels info also networked to captain outside ,ar overlays,display;helmet
2,ar weight lifting coach for proper form,ar headsetglasses which will project the proper form for weight lifting and will allow the user to follow along and replicate the form the coach will be a stick figure superimposed on the user,health,ar;user
3,stretchable display on glasses,head mounted ar headsets are big expensive and mostly wired a stretchable display can stick to a users glass lens to convert them into ar glasses,assistant,display;helmet
4,automatic home temperature system using body temp sensors,a body temperature sensor attached to the user will communicate with the thermostat to maintain temperature that is just right for the user,communication,sensors;sensor
5,|hand gesture recognition & control for phone, laptop & ar|,small sensors emg which can stretch and cover finger tips to allow the user to control their ar device laptop and phone by waving their hand or using other gestures,communication,sensors;sensor
6,on wrist battery charging for wearables,a stretchable battery which will stick to your wrist and can charge a wearable such as an apple watch or a fitbit its like an additional battery pack,stretchable application,sensors;sensor
7,conference helper,when meeting people it remembers who they are the context what was discussed and contact info,assistant,
8,real view: real estate ar,real estate and ar combined to give real estate agents the ability to show clients a fully furnished building could fit with heart rate sensor to tell how much a person likes the property,ar applications,ar;user
9,streamdream,arm wearbale to make gaming streams more interactive read out streamer messages and use gestures as hotkeys for emotes ,consuming content,directions;use
10,textanator,stretchable wearable on hand for discrete textentry onthego for ar,communication,
11,car map: ar directions on windshield,use ar principles to display mapsdirections onto windshield of cars people wont have to look down for directions anymore ,ar overlays,directions;use
12,airtravel passenger comfort monitoring,a smart patch that users can attach anywhere on their body which will monitor for comfort such as tracking for dehydration data will go to a screen that flight attendants can track and provide service accordingly for long haul flights ,monitoring,sensors;sensor
13,quick bac: bac patch to know if you can drive,flexiblewearable sensor to display bac via smartphone to user if over limit provides easy way to hail taxi instead of driving ,monitoring,sensors;sensor
14,remote health monitoring & ar doctor's appointments,using 2way ar glasses and heart rate sensors to allow doctors to remotely monitor a patient and to save time on inperson appointments through ar appointments which the patient can do at home,health,sensors;sensor
15,prosthetic limb control using emg sensors,stretchable emg sensor to wirelessly control prosthetic limbs,health,sensors;sensor
16,road to recovery: tracking of joint movement with ar,using flexible sensors paired with ar recovering surgery patients can tell the exact range of motion of their joint which then can be relayed to the doctor,health,sensors;sensor
17,sugar sense: sensor based blood sugar monitor,wearableflexible electronic patch that senses blood sugar and blood pressure levels for diabetic patients without finger pricks,health,sensors;sensor
18,heart smart: elderly tracking for falls and emergencies,flexible patch for elderly living alone to know if they felll and then take heart rate blood pressure readings to know if they are having an emergency it so the police are informed ,health,
19,huh that's interesting' assistant,detects when user is relacxed  not busy to prompt w intersting  relevant articles to read,assistant,
20,personal energy guru,an interactive arm display that shows current energy level and what to do about it ,monitoring,display;helmet
21,nuink,music fesitval arm sleeve tattoo that changes color wiith music and helps keep track of friends while monitoring your health,monitoring,display;helmet
22,always be pitching,virtual whiteboard in ar where you can gesture to swap between visuals and use haptic feedback to draw,communication,ar;user
23,holographic projection using ar for long distance communication,ar glasses which can project a person to make it seem like theyre right in front of the user feel like theyre physically talking to the person ,communication,ar;user
24,ez communicate: ar headset communication,ar glasses paired with phone to received also can take video calls on the go so you dont have to look down or hold your phone up ,communication,ar;user
25,emotigram,capture emotions through social media platform autogenerate custom ar filters based on emotional state,ar overlays,ar;user
26,augmented jersey,when seen through ar it displays custom elements set by the user eg fantasy sports trophies,ar overlays,ar;user
27,pharm count: ar headset counters for pharmacies,ar used in pharmacies to prevent countring and incorrect identification errors using computer vision headset displays the pill being counted and current count ,ar overlays,ar;user
28,stretchable display for clothing,a display which can stretch over clothing shirts pants jackets socks,stretchable application,display;helmet
29,earflix,the ultimate audio  sensory expereience with favorite show audio profile personalized  vibrations depending on scene,consuming content,sensors;sensor
30,skin id: ar and stretchable sensors into a display,use a combo of ar and flexible sensors to use your arm as a display for the sensor readings heart rate blood pressure etc,consuming content,sensors;sensor
