index,Concept Name,Concpet Description,Human Label,Machine Label
1,driver outsourcing,iutsourc remote driving to cheaper labor countries like india,transition to av,car;cars
2,what do you do during the ride?,now that there is more space for people in the vehicle and no need to focus on traffic what should you do examples sleep eat breakfast meditate read the newspaper,interior design ,ride;riders
3,social ride,music matching and exchange between riders,interior design ,ride;riders
4,fair business model,transportation costs should not burden those who live further away membership instead of per ride model for remote communities,pricing & cost,ride;riders
5,solar cars,solar powered cars that run during the day,basic concept,car;cars
6,transit: find the cars near you,an application that can help people detect and find the available connected cars,basic concept,car;cars
7,school self driving bus,provide automated school buses for kids in a neighborhood avoid the congestion for dropoff and pickup time at schools,kids,cav;buses
8,board game selections,board games proposed in auomated school vans or regular cav,kids,cav;buses
9,adaptive capacity and group dropoffs,workers should be distributed throught the city in a timely manner cars will have the same speed and self driving vansbuses will increase the load during peak hours no individually dropoffs because that lowers efficiency,commute / peak management,car;cars
10,high volune cav lane,cas can safely tailgate other cavs dedicate lanes for only cavs to do this,safety & health,cav;buses
11,landscape detector,sensors on the road condition surface traffic,safety & health,cav;buses
12,v2i communication,vehicle to infrastructure communication to get info each othermaintenanceupdating city info,infrastructure planning,ride;riders
13,activity connection,see the similar activities  hobbies interest other riders around you have decide on the best club or restaurant around,commute / peak management,ride;riders
14,commute management,a twohour window for commuting riders will be matched with a commute time within this window agreed upon by the company which recieves benefits from the city cheaper ride,commute / peak management,ride;riders
15,comfy seats,soft and comforabtle reclining seating with massage chair ,interior design ,seats;seat
16,storage seats,seats can be made outline materials and small items within them,interior design ,seats;seat
17,customized seat accesories,tables desks arm rests etc that can be hiddenremoved and taken out when needed for uee,interior design ,seats;seat
18,g road ,people can exploit the gforce to accelerate the car speed and save your time travelling from a to b point,infrastructure planning,car;cars
19,g roads,exploit the gforce to accelerate the car coriolis and saving your time travel from a to b,infrastructure planning,car;cars
20,traffic jam assist,driving assist feature to drive the car in intense traffic situation to relieve the mental stress of the driver,transition to automated vehicles,car;cars
21,pick up & drop off points,pool riders gather in a 5minute perimeter from where they requested the ride they will be dropped within a  5 minutewalk from their final destination,optimizing efficiency,ride;riders
22,cav fleet,a fleet of cavs that users pay to have ondemand access to,basic concept,cav;buses
23,cav   ridesharing fusion,incorporate cav into uber lyft and other similar platforms this will bring cavs online and kickstart mainstream usage,basic concept,cav;buses
24,frequent rider benefit program ,airlines have frequent flier programs and benefits we can apply this model to cav ridesharing,basic concept,cav;buses
25,bike friendly,selfdriving vehicles with bikes racks  vans balancing the distribution of dockless bikes in cities ,infrastructure planning,car;cars
26,grab end go cars,urban bikesharing model but for cars,infrastructure planning,car;cars
27,fat cars,match width of car to the roads to maximize space effi,infrastructure planning,car;cars
28,traffic lights,car can communicate the traffic lights by itself,infrastructure planning,car;cars
29,highway for connected cars,government create a nwely highway system exclusive for connected cars,infrastructure planning,car;cars
30,car storage system on the street,people cab park their personal belongings inside the storage cars to eliminate the unnessary things in their house,infrastructure planning,car;cars
31,car storage system on the street,people can park their personal belongings inside the storage cars to eliminate storage rooms from their house free house space,infrastructure planning,car;cars
32,streamlined cr,no need to see out of the front of the car anymore so make it as aero dynamic as possible,new vehicle shapes/forms,car;cars
33,overhead bus,buses that travel straight in ew or ns directions in cities and have clearance for the cars below to reduce traffic,new vehicle shapes/forms,car;cars
34,detachable cars,different number of carscabins can be attached to the engine depending on the number of people travelling,new vehicle shapes/forms,car;cars
35,tentacle cars,cars with contraptions to lift them above traffic below them and help them move quickly in case of emergencies,new vehicle shapes/forms,car;cars
36,flexible cars,cars that are fexiblemalleable for taking impact,new vehicle shapes/forms,car;cars
37,front and baxk doors,doors can be added to front and back of the car for cavs,new vehicle shapes/forms,car;cars
38,style changing cars,can have standard interior and fit different exterioir to change the look and style of the car,new vehicle shapes/forms,car;cars
39,redefine car shape,redifine the car shape by focusing on the function,new vehicle shapes/forms,car;cars
40,cavs w  bathrooms,buses have bathrooms why not  add them to cavs proposed for carpool communting,interior design ,cav;buses
41,innovation tire,the tire itself can detect the temp and lanscape by attathced a sensor on the surface,interior design ,cav;buses
42,virtual reality trip,displays different vr experiences on windows to emulate a trip in another terrain or planet,use cases,ride;riders
43,grocery store at home,saving time after work to directly go cook dinner at your home thanks a digital grocery store delivering the ingredients you need at your place during low hours on the road ,use cases,ride;riders
44,modular interior design,the interior allows flexibility of uses to meet the expectations of a variety of users includes trap on the floor to open a table moveable chairs option to open or cover windows coffeetea box kids bo,use cases,ride;riders
45,world experience,get immersed into a different culture for a ride can make partnership with different tourism boards,use cases,ride;riders
46,haircut,get a haircutby a robot or use the services of a barber on your way to work,use cases,ride;riders
47,just for you,completely personalize your riding experience to boost your good energy and vibes,use cases,ride;riders
48,late night cav ride service,fill the need late night for increased driver supply to match the high demand,use cases,ride;riders
49,cav city tours,a service for tourists to see attractive spots personalized tourist service where you select the places you want to see  stop,use cases,ride;riders
50,cav pitches dates,cavs can be used for elevator pitchesspeed dating or as a first round interviewproper first date for longer rides,use cases,ride;riders
51,completely autonomous driving,to increase the driving efficiencey and greatly reduce or completely eliminate accidents,transition to automated vehicles,car;cars
52,private cav rentals,private cav owners can lease out their vehicles when they are not in use so that they have a stream of revenue coming in,pricing & cost,cav;buses
53,cav insurance write off program,increase incentve to purchase cavs due to the improved safety on the road,pricing & cost,cav;buses
54,handicaped centered design,the car is specifically designed to address the specific needs of handicapes includes sliding doors platform to get on the car same than buses more space inside,safety & health,car;cars
55,emergency button for cars,system to shut down all the program can connect you to hospitals,safety & health,car;cars
56,flat intracity escalators,cross city that moving escalators taking people to places based on choice of activity,infrastructure planning,
57,vr amusement,an amusement car with vr glasses connected to bluetooth can make augmented reality experiences based on street views from the moving car,kids,ride;riders
58,remote control cars,cars would be remotely delivered from adriver hub located elsewhere like an it park,transition to av,car;cars
59,road escalators,have roads moving instead of cars so we can have everyone go at the same speed,infrastructure planning,cav;buses
60,road escalators,have roads moving instead of cars so we can have everyone go at the same speed  ,infrastructure planning,cav;buses
61,battery help!,emergency battery use in highway,infrastructure planning,cav;buses
62,window car,cav that us akk windows can use it for sightseeing in a scenic area like yosemite park,new vehicle shapes/forms,ride;riders
63,telescoping car expansion,cav vans thatt can expand as eeded to accomaodate larger groups of riders similar to camping trailer with popout extension,new vehicle shapes/forms,ride;riders
