Team,Concept Name,Description,Team
1,No steering wheel control,"Instead of using steering wheel , user will use screen to control car ",1
1,Mobile phone application for self-driving,Control you car on a mobile phone app,1
1,voice system,Control your car with a voice interface like siri ,1
1,GPS self-driving ,Advanced GPS navigation system,1
1,self-charging ,Car navigate itself to charging station( assume it is a electiric car),1
1,nearby car interaction ,Detect and connect nearby car,1
1,sleeping inside car,User can sleep inside a moving car ,1
1,undisturbed sensor ,Sensors can be used in any weather condition,1
1,machine learning  on car navigation ,Applied machine learning algorithm to train the navigation system of car ,1
1,self-parking,self-parking,1
1,Hand Written Commands,"Inputs can be done through hand writing with a stylus, can be used to draw the preferred path",1
1,Mouse and Keyboard Controls,Mouse/Keyboard like control system for easy uses input and possible system development usage,1
1,Wireless Vehicular Piggybacking,"Wireless signal can piggyback off of other autonomous vehicles in areas where data connectivity is limited, like in tunnels or underground car parks",1
1,Autonomous Connectivity Display,"Program that can display on the UI which vehicles near you are autonomously or manually operated, provide information on which vehicles are connected to the car you are riding in",1
1,Automatic Entry/Exit,"Vehicle uses active suspension and doors to allow for ease of entry and exit, such as lowering the car for entry and exit, deploying a ramp or seats that swivel out",1
1,Automatic Luggage Collection,System that can automatically pick up luggage and place it into the trunk,1
1,Exterior Lighting Signal,"Lights outside the vehicle that show its status (i.e. occupied, connected, available, manually controlled, etc.)",1
1,Reclining Seats/Rood Display,Seats that recline paired with a roof mounted display that can display entertainment or system information,1
1,Entrance/Exit Path finding,Include entrances and exits to buildings in the system's path finding so it can pick people up at the door,1
1,Interior Panoramic Display,"Large panoramic display that runs along the interior, they can used to show instructions and warnings",1
1,Extra Control System,"When emergencies occur, people can use extra control system to control the car and protect themselves from bad accident. People will feel safe if they can control cars. ",1
1,WIFI System,WIFI system provide people with chance to surf the Internet more flexible and they can use this system to communicate with other cars.,1
1,Sync Information System,"Through this system, vehicles are able to collect road information like traffic accident, parking space and etc., and sync information to computer and cloud to help to optimize route. ",1
1,Sofa Chair,Sofa chair is able to become a bed when people want to sleep in the car and the angle of seats can be controlled well,1
1,Communication System,People can chat with their family members while they are on the road via the vehicle's communication system. And thus they will feel safe and relaxed.,1
1,Entertainment Device,"Allow people to kill their time in the car like play games, watching videos and etc. while people needn't pay all  of their attention to driving",1
1,Windows Curtain,Be able to help people sleep better in the car,1
1,Swivel Seats,Seats of our autonomous vehicles are able to rotate any angle and people can chat or even play cards with their friends in the car face to face.,1
1,Windows Display System,"Windows of autonomous vehicles are able to become display screen when people need and they can use their fingers to control the ""windows screens"".",1
1,Voice Interaction System,"Considering our potential customers may include disabled people, so our autonomous vehicles will not only be controlled by inputing words through dashboard, but also by voice or some other kinds of information. And it can chat with you like Siri.",1
1,Gesture Control Over Navigation System,Allow user to inform the vehicle to make a right or left turn by waiving his/her hand to that direction within certain space in the vehicle.,1
1,Remote Control Over the Vehicle,User can assign someone to control the vehicle remotely on a laptop or smartphone.,1
1,Brake Control Over the Vehicle,User can apply brake on the vehicle to slow it down when from the user’s perspective there is a danger. The vehicle would optimize the best riding quality when slowing down.,1
1,One-button Parking Request,"When user is getting off the vehicle, he/she is able to press a single button to inform the vehicle to park itself.",1
1,Autonomous Parking System,"When user gets off the vehicle and there is no one on the vehicle for 15 seconds, the vehicle would park itself without any further instruction from the user.",1
1,Voice Control Over Navigation System,User can “speak” to the vehicle to inform the destination of change of route.,1
1,Video Call Projection for Visualizing Communication,Allow use to make a video call in car and project the video call image on the windshield so that user can see his/her family.,1
1,3D Projection for Visualizing Communication,Use 3D projection technique to project such user’s calling person under the windshield when such user is on a phone call.,1
1,Human-vehicle Communication through Smartphone Apps,"When user is about to get on the car, he/she can simply click on a smartphone app to notify the vehicle to come over.",1
1,Human-vehicle Communication through Wearable Devices,"When user is about to get on the car, he/she can simply click on a wearable device to notify the vehicle to come over.",1
1,Higher price service,Price the services at a higher price to increase users’ sense of safety toward the product.,1
1,One person per car policy,Put only one person in each car to reduct the fear of co-riding with strangers,1
