Member,Concept Name,Description,Category
1,Game Controller,Provides control of the vehicle using a typical video game controller,Controller
1,Internal Jet Thrusters,"A spherical vehicle could have tunnels with thrusters hidden inside, so they do not stick out",Movement
1,Bubble Dome FOV,The front end of the vehicle will have a light bulb like shape to allow more than 180 degree field of view,Camera
1,BB8 Tail,The main payload bus will be a sphere with an attached tail that helps reduce the drag.  The tail will be attached to the sphere with a BB8 like mechanism that allows it to always be pointing in the direction of water flow,Movement
1,Rescue Sub,The S2UV can have handles on it that allows a diver to grab on a be pulled to the surface. It can be used for search and rescue,Attachments
1,Tethered Antenna,A tethered antenna device could be placed at the bottom of an area of interest and then communicate directly to a fleet of S2UVs.  The communication will go from the surface to the tethered antenna to the fleet.,Network
1,VR Camera Control,The user could wear VR goggles that allow them to control which way the camera is facing based on the way they move their head.,Controller
1,Carrying Case Chair,The portable carrying case that holds the S2UV could be transformed into a chair that the user could use to sit in as the fly the device underwater.,Package
1,Drying Rack,The S2UV kit could come with an accessory that holds up the vehicle after a mission to allow it to dry off before transit.,Package
1,Object avoidance,The vehicle can have sensors that prevent it from running into objects during autonomous mode or when a user is actively controlling it.,Object avoidance
1,Teamwork,A fleet of S2UVs could work together to transport heavy objects,Swarm
1,Quiddich Flight practice,"Under water hoops could be used to create a ""racetrack"" for people to perform a course for fun or races",Game
1,Flying Fish,The vehicle could have detachable wings that allow it to do above water maneuvers or glides like a flying fish. Could get cool footage entering and exiting the water.,Attachments
1,Drill,The vehicle could have a drill on the front that allows it to drill into the ocean floor and collect small samples.,Attachments
1,Underwater Laser Tag,A group of people could play a game of underwater laser tag,Game
1,"""Treasure"" Hunt","A little flag or beacon could be hidden somewhere on the bottom of the water and a group of users can race to try to find it.  Whiile playing, they could be passively mapping the ocean floor.",Game
1,Floatable/Sinkable Batteries,A fully charged battery replacement could be thrown in the water and it would sink down and be intercepted by the S2UV.  its used up battery could be detached and it would float up to the surface to be retrieved later. ,Recharger
1,Fish Nets,A team of S2UVs could be used to first sense a lot of fish and then catch them by pulling a net around them. They would then bring it to the surface. ,Swarm
1,Diver's Oxygen Camel,The S2UV could carrying divers supplies like additional oxygen tanks or lights.,Attachments
1,Shark Tracker,"The S2UV could not only follow people, but also larger fish.  It could track their movement, record their behavior on video.",Movement
2,Underwater BB8,"Many of our potential customers need the underwater vehicle to be agile. This vehicle has ball-shape body which can roll in any direction at the bottom of the sea, and it can easily roll over small obstacles. The head however maintains steady, and is the power source that comes with a propeller. The head can also hold other equipment",Movement
2,Easy Does It,"A very simple but cheap underwater carrier that could fit the customers need for low cost and could carry whatever customers want to carry, such as iphone, camera or other equipment in the waterproof cover",Movement
2,Pseudo Fish,"The vehicle can move as fast and agile as a fish, because his mobility systems are just like that of a fish. The fins can flip back and forth, and the body and tail can wiggle. The head can hold small devices like light or camera.Fisherman or marine biologist can use this to inspect real fist in a peaceful manner that does not disturb them",Movement
2,Underwater Network Mini-drones,This drones travel relatively fast and has the ability to maintain in a position. They can talk to each in order to create a communication network. The military could use these drones to discover hostile boats or submarines. Fishermen can use them to trace done fish or farm them,Swarm
2,Underwater AfterBurner,The power system for this prototype is to use compressed gas instead of a propeller. This design would provide some users the desired speed under the water. Actually the power system could be a real afterburner if we could somehow keep the fuel burning in water,Movement
2,Underwater Film Wizard,It can follow people underwater and film people as they do other activities. It can automatically adjust the cameras focus to fit the people in the screen. It also has handle bars so that the divers can grab the robot and use it as a camera to film.,Special Usage
2,Super Durable RoundTai,Its round tail ( which works like sail) that can capture the current and allows it to travel with water without spending its own energy. The solar panel can also produce additional power when the sun is up. The onboard satellite receiver can receive control signal from afar,Movement
2,Double Eye Follower,A robot that can come in close range with people. It has no exposed propellers. Instead It is powered by gas but not a lot of It. It travels slow and has devices that interact with people. The robot uses two eyes to accurately locate and follow people just a human.Swimmers can use this to help them swim. Kids can use this for fun,Movement
