member,Concept Name,Concept Description,Cluster
,Butterfly wind generator,The wings of a butterfly flap via the effect of the wind and generate power through oscillating around a shaft. ,Animal Themed Designs
,OWP Snake,The oscillating wing power snake is putting together many OWP devices to use the wave movement it can create.,Animal Themed Designs
,Aquarium ,Stand looks like a fish or shark. Top fin is the sail used for generation through oscillating motion. Back fin is used for wind orientation of device. Put a bunch in one spot and it looks like an aquarium.,Animal Themed Designs
,Hamster triangle,Big structure where rotating wings attached catch the wind energy.,Animal Themed Designs
,Shade Art Roof,Big artificial bird device produces power with oscillating wing motion. Due to its appearance it scares birds away (bird safe),Animal Themed Designs
,The Peacock,Peacock sculpture with OWP functionality using the feather tail as sail,Animal Themed Designs
,The Turkey OWP ,"OWP that looks like a turkey. Feathers are the sail, feet are the counterweight. Can be used as decoration in November or Farmers can use them.",Animal Themed Designs
,Pegasus,A Pegasus sculpture uses its wings as OWP sails,Animal Themed Designs
,Biomimicry- Bird Wing,"Mimic the shape of a bird wing, nature has perfected it over thousands of years ",Animal Themed Designs
,The Swan,"The swan has two big wings that represent resistances to wind. Due to the additional use of springs at the joints between the wings and the rigid body, the wings start to oscillate in windy situations. These oscillations can be transformed into rotations. Finally the mechanical energy (rotational motion) can be transformed into electrical energy by using a generator.  ",Animal Themed Designs
,Bird house,Make bird habitats within the base of the OWP device to give birds a safe spot to nest,Animal Themed Designs
,Power Bird,Big artificial bird device produces power with oscillating wing motion. Due to it appearance it scares birds away (bird safe),Animal Themed Designs
,Sailboat generator,"OWP that looks like a sailboat. ""Sail"" acts as the OWP sail, the bottom of the boat is the central shaft, the boat's ""rudder"" is the OWP counterweight",Beach Themed
,Wave Oscillator,Multiple (3 or more) Oscillating Wind Power Devices on one axis and the sails look like waves. So when it is operating and all sails are moving it looks like waves,Beach Themed
,Surfboard,Sail and counterweight are packaged into one piece that looks like a surfboard to be used to generate power at beaches. ,Beach Themed
,Beach ball bounce,"Set them up clustered tightly in a field, have a HUGE beach ball blown up and bouncing off of all of them",Beach Themed
,"Give away, keep energy",give them away for free to home owners but own the actual energy produced from them,Changed Mindset
,people power,pay people to move them back and fourth when the wind isnt strong enough,Changed Mindset
,Propaganda,"Using propaganda convince them the old problem, that wind turbines are not pretty, doesn_t exist",Changed Mindset
,Tax Breaks,Give tax breaks to those who oppose it so they accept it and stop blocking the advancement,Changed Mindset
,Hot air balloon oscillator,"OWP device, the sails looks and works like an inflated hot air balloon. Put it at a park and it looks like there are hot air balloons and energy is generated for the park. ",Children Friendly Designs
,Air Dancer Generator,Wind power generator that looks like an air dancer (things at car dealers). Uses wind to inflate itself and to generate power,Children Friendly Designs
,Children_s spinning toy design,Small wind energy generator that looks like a child's pinwheel.,Children Friendly Designs
,Swing Set,Park wind generator where a child in a swing is the counterweight. Generates power through oscillation. Power is used to for park lights.,Children Friendly Designs
,Obstacle Course OWP,Arranging multiple OWPs to create an obstacle course. ,Children Friendly Designs
,Playground Sailboat,A sail boat themed playground has a OWP function built in its sail,Children Friendly Designs
,Children's energy playground,"Arranging many OWP devices on a playground (swing sets, tower, field, monkey bars...) (educative function about renewable energies)",Children Friendly Designs
,Teeter totter generator ,"Teeter totter that moves from wind hitting sails. Kids can ride, one on each side. Works without kids on it as well. Install at a park. ",Children Friendly Designs
