Member,Concept Title,Description,cluster
,Trunk,"Underwater box used to deposit materials, supplies and tools for divers use for maintenance",Reliable and Continuous Power Source;Cheap and Easy to Set up;
,Scale,Underwater scale connected with onshore facility used to calculate the corrosion of materials,Reliable and Continuous Power Source;
,Radio speaker,"Use of an adjustable frequency emitter to push a desired sort of marine animals away from the BWC, like whales or sharks (big animals)",Environmentally Friendly;
,Broken Line Carpet,Plaques are joint on their edges,Cheap and Easy to Set up;
,Fixed anchor,Big screws are drilled deep enough in the seabed that they are in rocks,Cheap and Easy to Set up;
,Inflatable carpet,With a system of valves you can inflate parts to adapt the geometry,Reliable and Continuous Power Source;
,Chains,Metal chains link each plaque to the other,Scalable;Cheap and Easy to Set up;
,Reef habitat,Food attached to pistons,Environmentally Friendly;Scalable;
,Glass box,Alternative to fishnet,Environmentally Friendly;
,Airplane wing,Profiled wing,Reliable and Continuous Power Source;Scalable;
,Wire fence,A fishnet protecting both animals and BWC from collision,Environmentally Friendly;
,Pumping system,"Valves and motion of pistons displace water into the shore, there it is stocked then passed through a turbine",Scalable;Easy to Incorporate in Existing Electricity Grid;
,Wings,Pivoting system to deploy plaques to modify geometry according to the waves spectrum,Reliable and Continuous Power Source;
,Alternator system,Pistons move a crankshaft that makes the alternator turn,Scalable;Easy to Incorporate in Existing Electricity Grid;
,Corrosion sensor,Use a camera to monitor corrosion,Reliable and Continuous Power Source;
,Plastic bag membrane,"Membrane to prevent lubricating liquid leakage, elastomer (not really a plastic bag)",Environmentally Friendly;
,Plateau structure,It's used to set the carpet at the desired height / depth,Reliable and Continuous Power Source;Scalable;
,Noise absorber,A string links the carpet to the piston to reduce impacts and consequently noise,Environmentally Friendly;
,Hook,A snap hook used to set and remove whole BWC for maintenance,Reliable and Continuous Power Source;Cheap and Easy to Set up;
,"""True"" carpet","Instead of hard plaques linked together (see Broken Line carpet), use of one single elastomer surface",Reliable and Continuous Power Source;Scalable;
,Oscillating Water Column,Water column rises and falls with waves compressing the air above the column which is then passed through a turbine,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Helical Wave Carpet,An underwater device similar to vertical axis wind turbines with a helical shape and rotational movement,Environmentally Friendly;Cheap and Easy to Set up;
,Underwater Free Floating,The device sways back and forth under the motion of waves,Environmentally Friendly;Cheap and Easy to Set up;
,Pressure Differential,Near shore device that moves vertically due to pressure differential created by waves,Reliable and Continuous Power Source;Environmentally Friendly;Scalable;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Wave Surge Converter,Hinged Deflectors are placed perpendicular to wave direction that moves back and forth along with the waves,Reliable and Continuous Power Source;Scalable;Easy to Incorporate in Existing Electricity Grid;
,Rotating Mass Differential,Rotation is used to capture energy by the movement of devie heaving and swaying in the waves,Reliable and Continuous Power Source;Environmentally Friendly;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
,Bulge Wave,"A tube is placed in the water. The water enters the stem, creating pressure variation along the tube (bulge). As it travels it grows and gains more energy and then passes through a low head turbine to generate electricity",Environmentally Friendly;Easy to Incorporate in Existing Electricity Grid;
,Parallel Carpet,The carpet is placed in direction of the wave. The pieces are connected together.,Reliable and Continuous Power Source;Environmentally Friendly;Scalable;Cheap and Easy to Set up;Easy to Incorporate in Existing Electricity Grid;
