member,Concept Title,Description,cluster
,Flexible Eye Mechanism,Eyes that are capable of blinking and turning eyeballs.,Facial expressions;
,Flexible Eyebrow Mechanism,"Allows for natural simulation of eyebrow movements (i.e. change shape, go up and down, side to side)",Facial expressions;
,Natural Jaw Mover,"The jaw not only moves up and down, but all is able to curve to allow for natural jaw movement",Facial expressions;
,Laughing Mechanism,Laughing control that the user can use to allow the costume character to laugh; removes the need for the user to actually laugh; enables more authentic laughing,Facial expressions;
,Earphone-Microphone Connector,User wears an earphone because noise in the congested head makes it difficult to hear; an inconspcuous mic is attached on the costume body to capture sounds from the outside and send to the earphone,Body Frame;
,Camera Facial Recognition,Smart phone camera is used to recognize users' facial movements and use the data to control the face's expressions mechanisms.  Similar to Snapchat's facial recognition.,Facial expressions;Facial Detection;
,Body Pillow Padding,Pillow tucked inside the fur allows costume to be soft and comfortable to hug.,Body Frame;
,Body Heat Emission,"When a character is giving a hug, the body will emit heat with the use of heat patches tucked under the fur.  Great for places with cold weather.",Body Frame;
,Smart Glasses for Facial Recognition,"Like the Google Glass, these smart glasses will be able to recognize eye and eyebrow movement.",Facial Detection;
,Performance Facial Stickers,"The user will wear stickers around the eyebrow, eyes and mouth and a facial recognition interface can pick up the movements",Facial Detection;
,Multi-language Voice Box,This box will enable international visitors at theme park to converse with talking characters.  The performoer can speak using English but the voice will come out a different language.,Body Frame;
,Hat Fan,Head piece worn on the costume head will contain a cooling fan inside.,Colling Systems;Health Improvements;
,Body Heat Transfer,"Heat from inside the costume will travel out to the person interacting with the character, creates a warm happy sensation.",Body Frame;
,Pupil Reducing Mechanism,"When a character is surprised or scared, the pupils will go small using LCD.",Facial expressions;
,Voice Activated Controller for Face,The wearer will use the voice to control the characters' facial expresisons,Facial Detection;
,Voice Activated Controller for Arms,"For costumes that require fake arms, the user can move them using a voice activated controller",Body Frame;
,Flexible Face,"Use a soft, plush like material or rubber to make the face stretchy anf flexible.",Facial expressions;
,Emergency Button or String,"When the performer gets too hot, he or she can push a botton that will alert an attendant that he wishes to go backstage.",Health Improvements;
