Group Member,Concept Title,Description,Cluster
Jing,Upright Handle Bottle,"Ear drop dispensing contraption with a vertical, squishy handle so you don't have to tilt your head to get the drops in. ",Cool Bottles
Jing,Eardropper Bottle,"Looks like an eyedropper, but for ears. It has ticks on the side of the pipette, so you can measure how much you are applying, and is simple to use and understand.",Cool Bottles
Ricky,Ear Conforming Drop Bottle,A ear drop bottle in a shape that conforming to ear to assist in application process.,Cool Bottles
Mike,Level Bottle,Bottle that will only dispense fluid when perfectly level. Button or other actuation method could be used.,Cool Bottles
Erwin,Retractable Ear Drop,"Similar to a retractable knife (used in props), the stem would be able to retract if hit even a soft hurdle (ear drum).",Cool Bottles
Erwin,Stemmed Ear Drop,"The stem will go into the ear canal, where it will dispense the medication to reduce waste.",Cool Bottles
Erwin,Foam Bottle,"The stem will go into the ear canal. When close to infected area, it will dispense the medication in foam to ensure medication is applied to the infected area.",Cool Bottles
Vyshaali,Ball Valve Bottle Spout,"Place ball in medication, compress medication bottle and dispense medication until ball obstructs fluid flow.",Cool Bottles
Vyshaali,Ear Easy Gun,Ergonomic medication dispenser using a peristaltic pump.,Cool Bottles
Vyshaali,Pre-ringe,Ear medication with a syringe that has an on/off valve (stopcock).,Cool Bottles
Vyshaali,Disposable Ear Medication Containers,Ear medication filled into single use disposable plastic tubules.,Cool Bottles
Vyshaali,Spring-Drop,Ballpoint pen/spring system with piston when the spring is compressed and the solution is drawn out.,Cool Bottles
Vyshaali,Beeping Bottle,"Weight sensor on bottle that can detect fluid, syncs with phone to notify once the precise volume of medication has been dispersed.",Cool Bottles
Group,Air Out,Compressed air into the ear to either clear out the ear wax or spray the medication in.,Cool Bottles
Group,Spray-ear,Spray medication.,Cool Bottles
Group,Sensory Feedback Bottle,"Bottle that dispenses ear medication, but also gives sensory feedback about the amount of ear wax or audio levels, etc.",Cool Bottles
Group,Rotating Caps,Different caps for different sprays.,Cool Bottles
Group,Clip-On Bottle,Something that clips on to your ear.,Cool Bottles
Group,Double Compartment Bottle,"Bottle with two different fluids that have separate functions, like numbing, cleansing, treatment, etc.",Cool Bottles
Group,Depth Feedback,"Sensory feedback after use, lets you know that you've gone deep enough and tells you that it's working.",Cool Bottles
Group,Ear Funnel ,Ergonomic ear funnel to dispense medication. ,Cool Bottles
Group,Package Transformer,Packaging of ear bottle folds into a funnel or something else for guiding the solution in.,Cool Bottles
Group,Modular Bottles,Be able to take apart the bottle and caps and separate them for multiple uses and different solutions.,Cool Bottles
Group,Retractable Bottle Tip,"When you squeeze the bottle, a tip comes out that you can use to apply solution into your ear. It can be disposable for cleanliness and convenience.",Cool Bottles
Group,Ear Syringe Mixer,"Ear syringe to dispense solution, solution agitator, and solution extractor. ",Cool Bottles
Jing,Princess Bottle,"We noticed that some people think all ear drops are the same, and can't tell them apart at the store. Thus, we should make the bottle and labeling super beautiful and unique, so it stands out and is immediately recognizable. Kind of like cosmetics - perfume bottles. ",Ear-esistible
Ricky,B-ear Helmet,A hat that dispenses solution automatically into ear when on.,Ear-esistible
Ricky,Healthy Ear Muffs,Earmuffs that sprays a mist of solution into ear.,Ear-esistible
Ricky,Ear Wax Cleaning Headphones,Headphones with vacuum to clear out ear wax when listening to music.,Ear-esistible
Mike,Ear-gonomic Cap,Adapter that can be placed onto current OTC ear drop bottles that makes them more comfortable and aim more accurately.,Ear-esistible
Group,Remedy Earrings,Q-tip type of solutions that hang from your ears like earrings (in a pleasing way).,Ear-esistible
Jing,3D Customizable Ear Canals,Take molds of people's ear canals and 3D print foam models that can be soaked with ear drop solution. These can be left in the ear canal (as a perfect fit) for a prescribed amount of time. ,Ear-ie Canal
Jing,Solution Retention Ear Plugs,"Part of the problem of ear drops is that they tend to fall out, so you can't tell how much has stayed in and if you should apply more. These ear plugs keep the ear drops inside the canal and have a waterproof surface that prevents absorption. This also eliminates the need to lie on each side for around 15 minutes to get the drops in. It reduces wasted solution and time. It can be provided with a bottle.",Ear-ie Canal
Ricky,Solution Ear Plugs,Ear plugs soaked in solutions that can be applied into ear without laying on side.,Ear-ie Canal
Mike,Fillable Ear Plugs,"Earplugs that you fill up with a separate device, pressurize, then insert into ears.",Ear-ie Canal
Mike,Inflatable Ear Plugs,Earplugs that you inflate while inserted into the ear canal. Nozzle is integrated into plugs.,Ear-ie Canal
